Symbol,scriptcode,previousclose,buyval,sellval,stoplossval,tp1,tp2,tp3,tp1qty,tp2qty,tp3qty,slqty,totalqty,stoplos_bool,tp1_bool,tp2_bool,tp3_bool,tradetype,tslstep,tslmove,tslval,slpts
JUBLPHARMA,3637,558.6,617.253,497.154,0,0,0,0,0,0,0,0,0,False,False,False,False,,0,0,0,0
JUSTDIAL,29962,844.25,932.89625,751.3824999999999,0,0,0,0,0,0,0,0,0,False,False,False,False,,0,0,0,0
JYOTHYLAB,15146,432.6,478.023,385.014,0,0,0,0,0,0,0,0,0,False,False,False,False,,0,0,0,0
KAJARIACER,1808,1229.75,1358.87375,1094.4775,0,0,0,0,0,0,0,0,0,False,False,False,False,,0,0,0,0
KANSAINER,1196,278.85,308.12925,248.17650000000003,0,0,0,0,0,0,0,0,0,False,False,False,False,,0,0,0,0
KEC,13260,748.4,826.982,666.076,0,0,0,0,0,0,0,0,0,False,False,False,False,,0,0,0,0
KEI,13310,3352.8,3704.844,2983.992,0,0,0,0,0,0,0,0,0,False,False,False,False,,0,0,0,0
KNRCON,15283,273.6,302.32800000000003,243.50400000000002,0,0,0,0,0,0,0,0,0,False,False,False,False,,0,0,0,0
KOTAKBANK,1922,1729.65,1911.26325,1539.3885,0,0,0,0,0,0,0,0,0,False,False,False,False,,0,0,0,0
KRBL,10577,292.8,323.544,260.592,0,0,0,0,0,0,0,0,0,False,False,False,False,,0,0,0,0
L&TFH,24948,157.55,174.09275000000002,140.2195,0,0,0,0,0,0,0,0,0,False,False,False,False,,0,0,0,0
LAURUSLABS,19234,409.85,452.88425,364.7665,0,0,0,0,0,0,0,0,0,False,False,False,False,,0,0,0,0
LAXMIMACH,1979,14477.1,15997.1955,12884.619,0,0,0,0,0,0,0,0,0,False,False,False,False,,0,0,0,0
LEMONTREE,2606,135.35,149.56175,120.4615,0,0,0,0,0,0,0,0,0,False,False,False,False,,0,0,0,0
LICHSGFIN,1997,634.6,701.2330000000001,564.794,0,0,0,0,0,0,0,0,0,False,False,False,False,,0,0,0,0
LINDEINDIA,1627,5906.8,6527.014,5257.052,0,0,0,0,0,0,0,0,0,False,False,False,False,,0,0,0,0
LT,11483,3640.6,4022.863,3240.134,0,0,0,0,0,0,0,0,0,False,False,False,False,,0,0,0,0
LTTS,18564,5270.8,5824.234,4691.012000000001,0,0,0,0,0,0,0,0,0,False,False,False,False,,0,0,0,0
LUXIND,11301,1192.95,1318.20975,1061.7255,0,0,0,0,0,0,0,0,0,False,False,False,False,,0,0,0,0
LXCHEM,2841,245.4,271.16700000000003,218.406,0,0,0,0,0,0,0,0,0,False,False,False,False,,0,0,0,0
M&M,2031,1894.35,2093.25675,1685.9714999999999,0,0,0,0,0,0,0,0,0,False,False,False,False,,0,0,0,0
MAHABANK,11377,61.4,67.847,54.646,0,0,0,0,0,0,0,0,0,False,False,False,False,,0,0,0,0
MAHLIFE,8050,570.45,630.34725,507.70050000000003,0,0,0,0,0,0,0,0,0,False,False,False,False,,0,0,0,0
MANAPPURAM,19061,169.25,187.02125,150.6325,0,0,0,0,0,0,0,0,0,False,False,False,False,,0,0,0,0
MASTEK,2124,2755.3,3044.6065000000003,2452.217,0,0,0,0,0,0,0,0,0,False,False,False,False,,0,0,0,0
MAZDOCK,509,2065.75,2282.65375,1838.5175,0,0,0,0,0,0,0,0,0,False,False,False,False,,0,0,0,0
MCDOWELL-N,10447,1147.9,1268.4295000000002,1021.6310000000001,0,0,0,0,0,0,0,0,0,False,False,False,False,,0,0,0,0
METROPOLIS,9581,1623.4,1793.857,1444.826,0,0,0,0,0,0,0,0,0,False,False,False,False,,0,0,0,0
MFSL,2142,991.55,1095.66275,882.4794999999999,0,0,0,0,0,0,0,0,0,False,False,False,False,,0,0,0,0
MGL,17534,1275.95,1409.9247500000001,1135.5955000000001,0,0,0,0,0,0,0,0,0,False,False,False,False,,0,0,0,0
MHRIL,17333,395.65,437.19325,352.1285,0,0,0,0,0,0,0,0,0,False,False,False,False,,0,0,0,0
MINDACORP,25897,409.75,452.77375,364.6775,0,0,0,0,0,0,0,0,0,False,False,False,False,,0,0,0,0
MMTC,17957,72.0,79.56,64.08,0,0,0,0,0,0,0,0,0,False,False,False,False,,0,0,0,0
MOTILALOFS,14947,1521.15,1680.87075,1353.8235,0,0,0,0,0,0,0,0,0,False,False,False,False,,0,0,0,0
MPHASIS,4503,2469.7,2729.0184999999997,2198.033,0,0,0,0,0,0,0,0,0,False,False,False,False,,0,0,0,0
MRPL,2283,218.85,241.82925,194.7765,0,0,0,0,0,0,0,0,0,False,False,False,False,,0,0,0,0
MUTHOOTFIN,23650,1401.65,1548.8232500000001,1247.4685000000002,0,0,0,0,0,0,0,0,0,False,False,False,False,,0,0,0,0
NATCOPHARM,3918,1012.7,1119.0335,901.303,0,0,0,0,0,0,0,0,0,False,False,False,False,,0,0,0,0
NATIONALUM,6364,158.35,174.97674999999998,140.9315,0,0,0,0,0,0,0,0,0,False,False,False,False,,0,0,0,0
NAUKRI,13751,5161.05,5702.96025,4593.3345,0,0,0,0,0,0,0,0,0,False,False,False,False,,0,0,0,0
NAZARA,2987,674.15,744.93575,599.9935,0,0,0,0,0,0,0,0,0,False,False,False,False,,0,0,0,0
NBCC,31415,121.05,133.76024999999998,107.7345,0,0,0,0,0,0,0,0,0,False,False,False,False,,0,0,0,0
NCC,2319,243.9,269.5095,217.071,0,0,0,0,0,0,0,0,0,False,False,False,False,,0,0,0,0
NESTLEIND,17963,2611.5,2885.7075,2324.235,0,0,0,0,0,0,0,0,0,False,False,False,False,,0,0,0,0
NETWORK18,17963,2611.5,2885.7075,2324.235,0,0,0,0,0,0,0,0,0,False,False,False,False,,0,0,0,0
NH,11840,1276.1,1410.0904999999998,1135.7289999999998,0,0,0,0,0,0,0,0,0,False,False,False,False,,0,0,0,0
NHPC,17400,90.15,99.61575,80.2335,0,0,0,0,0,0,0,0,0,False,False,False,False,,0,0,0,0
NIACL,399,251.3,277.6865,223.657,0,0,0,0,0,0,0,0,0,False,False,False,False,,0,0,0,0
NLCINDIA,8585,232.75,257.18875,207.1475,0,0,0,0,0,0,0,0,0,False,False,False,False,,0,0,0,0
NMDC,15332,228.85,252.87924999999998,203.6765,0,0,0,0,0,0,0,0,0,False,False,False,False,,0,0,0,0
ONGC,2475,274.0,302.77,243.86,0,0,0,0,0,0,0,0,0,False,False,False,False,,0,0,0,0
ORIENTELEC,2972,206.0,227.63,183.34,0,0,0,0,0,0,0,0,0,False,False,False,False,,0,0,0,0
PAGEIND,14413,35863.25,39628.89125,31918.2925,0,0,0,0,0,0,0,0,0,False,False,False,False,,0,0,0,0
PHOENIXLTD,14552,2766.9,3057.4245,2462.541,0,0,0,0,0,0,0,0,0,False,False,False,False,,0,0,0,0
PIDILITIND,2664,2906.4,3211.572,2586.696,0,0,0,0,0,0,0,0,0,False,False,False,False,,0,0,0,0
PNB,10666,128.9,142.4345,114.721,0,0,0,0,0,0,0,0,0,False,False,False,False,,0,0,0,0
PNBHOUSING,18908,678.05,749.2452499999999,603.4644999999999,0,0,0,0,0,0,0,0,0,False,False,False,False,,0,0,0,0
POLYMED,25718,1518.85,1678.3292499999998,1351.7765,0,0,0,0,0,0,0,0,0,False,False,False,False,,0,0,0,0
POLYPLEX,2687,849.9,939.1395,756.411,0,0,0,0,0,0,0,0,0,False,False,False,False,,0,0,0,0
PRESTIGE,20302,1179.65,1303.5132500000002,1049.8885,0,0,0,0,0,0,0,0,0,False,False,False,False,,0,0,0,0
RADICO,10990,1557.2,1720.7060000000001,1385.9080000000001,0,0,0,0,0,0,0,0,0,False,False,False,False,,0,0,0,0
RAIN,15337,167.7,185.30849999999998,149.253,0,0,0,0,0,0,0,0,0,False,False,False,False,,0,0,0,0
RAJESHEXPO,7401,311.25,343.93125,277.0125,0,0,0,0,0,0,0,0,0,False,False,False,False,,0,0,0,0
RALLIS,2816,273.2,301.88599999999997,243.148,0,0,0,0,0,0,0,0,0,False,False,False,False,,0,0,0,0
RAMCOCEM,2043,810.55,895.65775,721.3895,0,0,0,0,0,0,0,0,0,False,False,False,False,,0,0,0,0
RATNAMANI,13451,2700.25,2983.77625,2403.2225,0,0,0,0,0,0,0,0,0,False,False,False,False,,0,0,0,0
RBLBANK,18391,248.55,274.64775000000003,221.20950000000002,0,0,0,0,0,0,0,0,0,False,False,False,False,,0,0,0,0
RCF,2866,137.3,151.71650000000002,122.197,0,0,0,0,0,0,0,0,0,False,False,False,False,,0,0,0,0
REDINGTON,14255,197.55,218.29275,175.8195,0,0,0,0,0,0,0,0,0,False,False,False,False,,0,0,0,0
RELAXO,24225,826.85,913.66925,735.8965000000001,0,0,0,0,0,0,0,0,0,False,False,False,False,,0,0,0,0
RELIANCE,2885,2933.2,3241.1859999999997,2610.548,0,0,0,0,0,0,0,0,0,False,False,False,False,,0,0,0,0
RENUKA,12026,44.0,48.62,39.16,0,0,0,0,0,0,0,0,0,False,False,False,False,,0,0,0,0
